,STNAME,STATE,YEAR,rep_vote_pct,linear_model_predictions,polynomial4_only_predictions,polynomial_3_only_predictions,polynomial_2_predictions,electoral_votes,actual_result,linear_result,poly_4_result,poly_3_result,poly_2_result,actual_result_mapped,linear_result_mapped,poly_4_result_mapped,poly_3_result_mapped,poly_2_result_mapped
49,Wisconsin,55,2000,0.4988493169684219,0.5706609998501038,0.5628905632740597,0.5612139941158603,0.5722968329624152,11,0.0,1.0,1.0,1.0,1.0,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
50,Wyoming,56,2000,0.7098230564031704,0.6204046315024074,0.6429707512041816,0.6328291029842461,0.6128944286322167,3,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
51,Alabama,1,2004,0.6289777135228225,0.45452928163319095,0.5427345842057534,0.5466999640536443,0.53311057585924,9,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
52,Alaska,2,2004,0.6183817430897611,0.6580763529159377,0.6543094604608442,0.6584109805039446,0.648180152267031,3,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
53,Arizona,4,2004,0.5527500503048827,0.5276517659639226,0.5546107884971647,0.5594571785316163,0.5503152227102035,10,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
54,Arkansas,5,2004,0.5499994718653045,0.5051558313619817,0.5143318058110893,0.5143928314811035,0.537776300257697,6,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
55,California,6,2004,0.4495108241778578,0.47878318058381186,0.45158863076530764,0.43586726914422513,0.4324332469482215,55,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
56,Colorado,8,2004,0.5236622955824264,0.5894782382186197,0.5852154853699503,0.5994991460593013,0.6104512190891498,9,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
57,Connecticut,9,2004,0.4472505243941587,0.4792154822920285,0.47922771674523545,0.48161740865742786,0.4376777736298365,7,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
58,Delaware,10,2004,0.4616855661229935,0.46721386398469056,0.5012968551606107,0.5028114458496731,0.4951313605954297,3,0.0,0.0,1.0,1.0,0.0,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,DEMOCRAT
59,District of Columbia,11,2004,0.0947972135256393,0.301934467403675,0.15354337050333555,0.1447535330377434,0.09386512955077109,3,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
60,Florida,12,2004,0.5252367957566879,0.4569491960889698,0.4474432138198594,0.4500368526868357,0.4257643776505873,27,1.0,0.0,0.0,0.0,0.0,REPUBLICAN,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
61,Georgia,13,2004,0.5835423269640956,0.4929512730618715,0.4958608187464293,0.49340269106798473,0.5349778283452125,15,1.0,0.0,0.0,0.0,1.0,REPUBLICAN,DEMOCRAT,DEMOCRAT,DEMOCRAT,REPUBLICAN
62,Hawaii,15,2004,0.4562593577168699,0.41085742402180925,0.37644691694224974,0.36890036540229687,0.3428982125532798,4,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
63,Idaho,16,2004,0.6932273818336431,0.6144781531595878,0.6363887775296106,0.6288329207192049,0.6059834133354585,4,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
64,Illinois,17,2004,0.4479458908558913,0.4954886453818843,0.4999187972399213,0.4983277342460468,0.4850394929488573,21,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
65,Indiana,18,2004,0.6042347624965846,0.5427056169472566,0.5322407756007905,0.5326360349693573,0.5412128611416591,11,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
