STNAME,STATE,YEAR,TOT_POP,MALE_PCT,WHITE_PCT,HISPANIC_PCT,Young_PCT
Delaware,10,2004,659944,0.4787224370552653,0.7721730934745978,0.0483147054901628,0.5261143369740463
Delaware,10,2008,702781,0.4786327461897803,0.7576940753947531,0.05486488678549932,0.4988253808796766
Delaware,10,2012,747134,0.4788351219459963,0.7327895665302342,0.07171538171198205,0.4764995302047558
Delaware,10,2016,783162,0.4788753795511018,0.7193377615359274,0.07661250162801565,0.4569693115855979
Delaware,10,2020,821432,0.48167833734259197,0.7057005327282112,0.08386330213578239,0.44751969730908947
District of Columbia,11,2000,474163,0.46425174465320995,0.37410974707010036,0.07465997979597733,0.5879518224745499
District of Columbia,11,2004,481882,0.4640181621226773,0.39543498200804345,0.0792828949825891,0.5775791583831726
District of Columbia,11,2008,498991,0.4657458751761054,0.42091139920359283,0.08065075321999796,0.5777659316500698
District of Columbia,11,2012,543421,0.46816556592402575,0.4527079373082748,0.09173182486506778,0.6027407847690832
District of Columbia,11,2016,575845,0.4693832541743004,0.46481257977407114,0.09881825838550304,0.6070887131085622
District of Columbia,11,2020,560921,0.47390809044410886,0.4761347854688985,0.10415192157184346,0.5993054280371033
Florida,12,2000,13006409,0.4822850027244261,0.8341750593880294,0.16325420798315662,0.5021448272155673
Florida,12,2004,14100721,0.48486300806887817,0.8246809507116692,0.18116194200282382,0.48990991311720866
Florida,12,2008,15024825,0.4867318587737295,0.8150067638059012,0.19881050195260178,0.4718971435607403
Florida,12,2012,16035179,0.4842966829369351,0.7990386636781541,0.22127610798731964,0.4556840930805949
Florida,12,2016,17189104,0.48417346244458115,0.792533688783313,0.23689029980852988,0.4427638578485534
Florida,12,2020,18094158,0.4884794860307951,0.7862066861580406,0.2562613303144584,0.43923093851617745
Georgia,13,2000,6405501,0.4865076127534755,0.6942926088060871,0.050551393247772504,0.602041588940506
Georgia,13,2004,6940013,0.4870224306496256,0.6812050640250962,0.05878346337391587,0.5792187997342368
Georgia,13,2008,7557929,0.4863973980173669,0.6647719236314604,0.06753860746773356,0.5541050994260465
Georgia,13,2012,7840610,0.4827943234008578,0.6410686158347374,0.07708698685433914,0.5310392941365532
Georgia,13,2016,8234494,0.48136582527110955,0.6255733503479388,0.08068048868576502,0.5132462298229861
Georgia,13,2020,8662888,0.4843516388530014,0.609790637948915,0.08832077708958029,0.5061152816474137
Hawaii,15,2000,966347,0.49990841799063895,0.276432792775266,0.06002709171757143,0.5446987469304504
Hawaii,15,2004,1008701,0.4981446434572782,0.29291336084726793,0.0661464596545458,0.5205873692997232
Hawaii,15,2008,1051266,0.5009131846744782,0.3056980821219368,0.07175538826519644,0.5035661764006446
Hawaii,15,2012,1133953,0.4986890991072822,0.2762301435773793,0.07853941036356886,0.488437351459893
Hawaii,15,2016,1168221,0.4996263549448264,0.274222086403172,0.08531690493493954,0.4807155495407119
Hawaii,15,2020,1192594,0.5027846861547182,0.2670187842635465,0.08951998752299609,0.46862553392017736
Idaho,16,2000,995786,0.4977264191302147,0.9615067896114226,0.0662240682234938,0.5713627225126684
Idaho,16,2004,1074130,0.49998324225186896,0.9583225494120824,0.07447794959641757,0.5477884427397056
Idaho,16,2008,1178995,0.5003176434166388,0.9546579926123521,0.08503343949719888,0.5272897679803562
Idaho,16,2012,1237458,0.4976063834085682,0.9450680346322865,0.09799282076644217,0.5091946554953785
Idaho,16,2016,1320046,0.4982977865922854,0.940364956978772,0.10642129137923982,0.49861747242141563
Idaho,16,2020,1476980,0.5010623028070793,0.9350722420073393,0.11481198120489106,0.5028673374047042
Illinois,17,2000,9728488,0.483680300577027,0.8112281168461122,0.1098066832173715,0.5698291450840048
Illinois,17,2004,9983401,0.48617189673138445,0.8058166750989968,0.12169910834995008,0.5497460234242819
Illinois,17,2008,10269501,0.48824329439181124,0.8006747358026451,0.13352547509367788,0.5311864714750989
Illinois,17,2012,10346192,0.48601301812299635,0.7881315173737352,0.1425192959883211,0.5090803456962716
Illinois,17,2016,10389123,0.48706036111036516,0.7803162018584244,0.15203843481302512,0.49561372985958485
Illinois,17,2020,10463718,0.49176258381581,0.7727336497409429,0.16319877886617357,0.48894522960194453
Indiana,18,2000,4782315,0.48459083100966793,0.9015198706065995,0.031511307808038576,0.5587986153149678
Indiana,18,2004,4903506,0.48623658255949925,0.8960470324702366,0.037085301822818204,0.5358315050496523
Indiana,18,2008,5064880,0.4879495664260555,0.8899403342231208,0.0432563061711235,0.5139628184675649
Indiana,18,2012,5219847,0.4876545232072894,0.8772165161162769,0.051934472408865624,0.49773240480037056
Indiana,18,2016,5332744,0.4883500876846892,0.8678985902942276,0.05720507116036322,0.48961060197151784
Indiana,18,2020,5485963,0.4931165230243077,0.8574593011290816,0.06502686948490174,0.4886744587960218
Iowa,19,2000,2327636,0.48489153802398655,0.9604568755595806,0.02342849139642109,0.531740787648928
Iowa,19,2004,2357155,0.48738161045837036,0.9562790737138627,0.0285496711077549,0.5091455589471205
Iowa,19,2008,2415806,0.4894743203717517,0.9510672628514044,0.03353166603609727,0.4895951910045757
Iowa,19,2012,2473432,0.4923616254661539,0.9373283761186886,0.04256797842026787,0.4800427098865059
Iowa,19,2016,2527673,0.4939218799267152,0.9254195459618392,0.047859038728506414,0.47779756321327954
Iowa,19,2020,2584971,0.4991823892801892,0.9158311640633493,0.05514065728396953,0.4815036609695041
Kansas,20,2000,2104512,0.48864582382994254,0.9071105320378311,0.0597991363318432,0.5559450361889122
Kansas,20,2004,2153646,0.48991802738240176,0.9020094295905641,0.06781987383256115,0.5326177096885932
Kansas,20,2008,2219562,0.49273685528946704,0.8970598703708209,0.07611817106257901,0.5132512630870415
Kansas,20,2012,2276829,0.4928556338662236,0.8845631358349705,0.09084301016896745,0.502015742069343
Kansas,20,2016,2312236,0.49454424202373803,0.8770359080993463,0.09858206515251904,0.49680309449381466
Kansas,20,2020,2356823,0.5001631433501794,0.8705846811576432,0.109448185120393,0.4993675808493043
Kentucky,21,2000,3224887,0.4824274462950175,0.9142286225842952,0.013730713665316025,0.5529517778452392
Kentucky,21,2004,3311717,0.48379556586507844,0.9107816277779774,0.01656512316722715,0.5300075459346315
Kentucky,21,2008,3435355,0.4837011022150549,0.9075667580206412,0.019290873868930577,0.5051020927968143
Kentucky,21,2012,3536647,0.4876992247176492,0.896430715307465,0.026263011264624374,0.48919584001456745
Kentucky,21,2016,3600031,0.4883669057294229,0.889653450206401,0.02874725245421498,0.47832699218423397
Kentucky,21,2020,3671143,0.4928947197099105,0.8829192978862441,0.03372437412544268,0.474879349564972
Louisiana,22,2000,3469972,0.47625110519623787,0.6709186702371085,0.02387079780470851,0.5713083563786682
Louisiana,22,2004,3521424,0.4776624456469883,0.664653560605028,0.027556465793383587,0.5468293508535184
Louisiana,22,2008,3496072,0.4785587939836479,0.6670563420890645,0.03128339462116341,0.5225827728948375
Louisiana,22,2012,3671482,0.48410124304027635,0.6550752529904817,0.04235319688343835,0.5105897291611399
Louisiana,22,2016,3755065,0.4839218495552008,0.6484087492493472,0.04602104091407206,0.5021974320018429
Louisiana,22,2020,3747905,0.4856830682741425,0.6424442455184963,0.048893715288941424,0.49554591164930806
Maine,23,2000,1031432,0.4803932784710965,0.9766140666568421,0.006214660782291028,0.5135151905312226
Maine,23,2004,1073309,0.48226372833918285,0.9734736222280815,0.008510130819735975,0.4849647212498917
Maine,23,2008,1094945,0.4831740407052409,0.970626835137838,0.010539342158738568,0.45467763220983703
Maine,23,2012,1112452,0.4851391340929766,0.9605070600798956,0.011512406827440645,0.42674650232099903
Maine,23,2016,1123918,0.48576675522591506,0.9556898279055945,0.013723421103674823,0.41390653054760224
Maine,23,2020,1158899,0.4902299510138502,0.9504797225642614,0.01647770858375061,0.41332937555386623
Maryland,24,2000,4173921,0.4753412917973292,0.674378360299584,0.0402477670276941,0.5600625886306905
Maryland,24,2004,4398069,0.4758945346241726,0.6595094347087324,0.04899809439097022,0.538006111318399
Maryland,24,2008,4533945,0.4777122351506249,0.6461747992090773,0.05819986788547281,0.5162449037207112
Maryland,24,2012,4774612,0.4783965691871926,0.6213040975895004,0.07756755941634629,0.49783731117837426
Maryland,24,2016,4899350,0.47867390572218765,0.6053980630083583,0.08505291518262627,0.48462061293845105
Maryland,24,2020,5041701,0.4822473605634289,0.5902765753066277,0.09522381434361141,0.47925392640301356
Massachusetts,25,2000,5102995,0.47432635148574515,0.8917361275094332,0.058187789719566646,0.5509650705125128
Massachusetts,25,2004,5218542,0.47724939264645183,0.8811871208471638,0.06650152475538186,0.5297242026604366
Massachusetts,25,2008,5330437,0.47970382165664843,0.8727033074398965,0.07500604547056836,0.5079941850921416
Massachusetts,25,2012,5509444,0.4791517982576826,0.8463387594102054,0.09003939417480239,0.4893533721370069
Massachusetts,25,2016,5684364,0.4802780047160949,0.8300845969751409,0.10096485728218671,0.48066591090929434
Massachusetts,25,2020,5874837,0.48568445388357157,0.8156440765931038,0.11221145369650255,0.4793293839471631
Michigan,26,2000,7792818,0.48427359653465535,0.83326429540636,0.028281681928154872,0.5550541537092231
Michigan,26,2004,7994988,0.48628640843488447,0.8283889856995408,0.03203857216546166,0.5291343776876213
Michigan,26,2008,8057495,0.4875241002321441,0.8235539705578471,0.035109547073873454,0.5022743420877084
Michigan,26,2012,8029929,0.4861720446096099,0.8148561462996746,0.038187386214747356,0.47477281555042394
Michigan,26,2016,8136823,0.48768284624109437,0.8088558642605351,0.0419940313313931,0.46507045808910924
Michigan,26,2020,8303861,0.49333978495063924,0.8031561462794236,0.04749356955758291,0.4653114978682808
Minnesota,27,2000,3872315,0.4903862418217526,0.9238969453673062,0.02486522919752138,0.5675282098692901
Minnesota,27,2004,4036411,0.4928952973322092,0.9146308440840143,0.02925767470160992,0.5401345403131643
Minnesota,27,2008,4184831,0.49464315285372334,0.9064294352627382,0.03313108701402757,0.5119523345148227
