year,state,republic_vote_per
2004,NEVADA,0.513175957248615
2004,NEW HAMPSHIRE,0.49309711379862686
2004,NEW JERSEY,0.4659964301608663
2004,NEW MEXICO,0.5040033588635489
2004,NEW YORK,0.40170209343553887
2004,NORTH CAROLINA,0.5624197200184111
2004,NORTH DAKOTA,0.6390935414994329
2004,OHIO,0.510607412927228
2004,OKLAHOMA,0.6557040166475606
2004,OREGON,0.4789137422554992
2004,PENNSYLVANIA,0.4874171790293761
2004,RHODE ISLAND,0.39422489424121865
2004,SOUTH CAROLINA,0.5863535860141417
2004,SOUTH DAKOTA,0.6091329080109369
2004,TENNESSEE,0.5721407460643253
2004,TEXAS,0.6151019189710992
2004,UTAH,0.7334643916012205
2004,VERMONT,0.39698997860748836
2004,VIRGINIA,0.5413369671353006
2004,WASHINGTON,0.46353462316547045
2004,WEST VIRGINIA,0.5646648206684256
2004,WISCONSIN,0.4980819672573075
2004,WYOMING,0.7031270317317171
2008,ALABAMA,0.6089090275357267
2008,ALASKA,0.610647849165971
2008,ARIZONA,0.5431390071961633
2008,ARKANSAS,0.6017172061071726
2008,CALIFORNIA,0.3772155040841459
2008,COLORADO,0.4544936530682658
2008,CONNECTICUT,0.38569591459235586
2008,DELAWARE,0.3736186135011144
2008,DISTRICT OF COLUMBIA,0.06599231666584336
2008,FLORIDA,0.48582266984832223
2008,GEORGIA,0.5262796371119487
2008,HAWAII,0.27024437313466326
2008,IDAHO,0.6302458980502055
2008,ILLINOIS,0.37267519078368067
2008,INDIANA,0.49478046554621913
2008,IOWA,0.45151222210532654
2008,KANSAS,0.5761227581890944
2008,KENTUCKY,0.5823342758770461
2008,LOUISIANA,0.5949531221415545
2008,MAINE,0.41170475016592395
2008,MARYLAND,0.37069912707114466
2008,MASSACHUSETTS,0.3680349871954352
2008,MICHIGAN,0.4162869842384548
2008,MINNESOTA,0.4477062500460726
2008,MISSISSIPPI,0.5663854141666517
2008,MISSOURI,0.5006757914967664
2008,MONTANA,0.512293704413297
2008,NEBRASKA,0.5760907442216564
2008,NEVADA,0.43613261874803894
2008,NEW HAMPSHIRE,0.45131458879890496
2008,NEW JERSEY,0.4213537012857605
2008,NEW MEXICO,0.4233509998120241
2008,NEW YORK,0.36505574149513886
2008,NORTH CAROLINA,0.4983403669993269
2008,NORTH DAKOTA,0.5440865628196813
2008,OHIO,0.47691667384406833
2008,OKLAHOMA,0.656450811226935
2008,OREGON,0.4158627882277282
2008,PENNSYLVANIA,0.44789204079400896
2008,RHODE ISLAND,0.35801862490854225
2008,SOUTH CAROLINA,0.5454442918920913
2008,SOUTH DAKOTA,0.5429570723411538
2008,TENNESSEE,0.5763147180235446
2008,TEXAS,0.5593593675094072
2008,UTAH,0.6452636137274007
2008,VERMONT,0.311008182606619
2008,VIRGINIA,0.46817415593872447
2008,WASHINGTON,0.4124797319789105
2008,WEST VIRGINIA,0.5667374376713725
2008,WISCONSIN,0.42944321752181586
2008,WYOMING,0.6656202335509591
2012,ALABAMA,0.6121622853343771
2012,ALASKA,0.5731529048156038
2012,ARIZONA,0.5461338022370319
2012,ARKANSAS,0.6215440535122961
2012,CALIFORNIA,0.3812718883670338
2012,COLORADO,0.4724989314399086
2012,CONNECTICUT,0.41227422523092905
2012,DELAWARE,0.4055304508072184
2012,DISTRICT OF COLUMBIA,0.07412350797882483
2012,FLORIDA,0.49557747860633766
2012,GEORGIA,0.5395664909805672
2012,HAWAII,0.2830902404711577
2012,IDAHO,0.6642138684357534
2012,ILLINOIS,0.414211811010485
2012,INDIANA,0.5520037459732731
2012,IOWA,0.4704064807189982
2012,KANSAS,0.6106033634972299
2012,KENTUCKY,0.6154277239380491
2012,LOUISIANA,0.5874682561411397
2012,MAINE,0.42140078606422887
2012,MARYLAND,0.3667827421309402
2012,MASSACHUSETTS,0.38214319250939993
2012,MICHIGAN,0.45199467928822123
2012,MINNESOTA,0.4605877353830181
2012,MISSISSIPPI,0.5580189919878777
2012,MISSOURI,0.5477866675337997
2012,MONTANA,0.5703423186388146
2012,NEBRASKA,0.6112939026822536
2012,NEVADA,0.46592457836653467
2012,NEW HAMPSHIRE,0.47166248021741897
2012,NEW JERSEY,0.41013148862690413
2012,NEW MEXICO,0.44704795353091303
2012,NEW YORK,0.3395730512972261
2012,NORTH CAROLINA,0.51034034903005
2012,NORTH DAKOTA,0.6011120828891173
2012,OHIO,0.48485943230750506
2012,OKLAHOMA,0.6677231974301656
2012,OREGON,0.43728832821252617
2012,PENNSYLVANIA,0.4726806599810817
2012,RHODE ISLAND,0.3598325402111788
2012,SOUTH CAROLINA,0.5530825470456537
2012,SOUTH DAKOTA,0.5921849913819525
2012,TENNESSEE,0.6035107152629404
2012,TEXAS,0.5800789721510639
2012,UTAH,0.7462618889514748
2012,VERMONT,0.3175274117360937
2012,VIRGINIA,0.48032623311235517
2012,WASHINGTON,0.42371701729378153
2012,WEST VIRGINIA,0.6367429763204273
2012,WISCONSIN,0.4653657001712759
2012,WYOMING,0.7116063401152143
2016,ALABAMA,0.6437405660815012
2016,ALASKA,0.5838565471106807
2016,ARIZONA,0.5189002340103945
2016,ARKANSAS,0.6428513768977047
2016,CALIFORNIA,0.3387177945727012
2016,COLORADO,0.47316666627317566
2016,CONNECTICUT,0.4285845248273636
2016,DELAWARE,0.4400137855631878
2016,DISTRICT OF COLUMBIA,0.04304811658145916
2016,FLORIDA,0.5061883547277548
2016,GEORGIA,0.5266117259930322
2016,HAWAII,0.32558662549464545
2016,IDAHO,0.6831017668080558
2016,ILLINOIS,0.4097994860928852
2016,INDIANA,0.6011730952450807
2016,IOWA,0.5506354784512034
2016,KANSAS,0.6111147034260667
2016,KENTUCKY,0.6567062901750986
2016,LOUISIANA,0.601716772378078
2016,MAINE,0.48403208870837466
2016,MARYLAND,0.35983750315230606
2016,MASSACHUSETTS,0.35348721310370507
2016,MICHIGAN,0.5011766821696155
2016,MINNESOTA,0.49168143066384656
2016,MISSISSIPPI,0.5908984732406006
2016,MISSOURI,0.5981856099556606
2016,MONTANA,0.6110966431702444
2016,NEBRASKA,0.6354767411317757
2016,NEVADA,0.487062905800148
2016,NEW HAMPSHIRE,0.49802971557619297
2016,NEW JERSEY,0.4271580985709871
2016,NEW MEXICO,0.4534920506567589
2016,NEW YORK,0.3823052529077439
2016,NORTH CAROLINA,0.5190374580371871
2016,NORTH DAKOTA,0.6980924289651974
2016,OHIO,0.5426768457713591
2016,OKLAHOMA,0.6930473723832813
2016,OREGON,0.43844161054945646
2016,PENNSYLVANIA,0.5037553580749017
2016,RHODE ISLAND,0.41689295907340185
2016,SOUTH CAROLINA,0.5746025636052402
2016,SOUTH DAKOTA,0.6597185807943126
2016,TENNESSEE,0.6362434304526199
2016,TEXAS,0.5471322557797199
2016,UTAH,0.6238365820849079
2016,VERMONT,0.34813573676179627
2016,VIRGINIA,0.471736237228453
2016,WASHINGTON,0.4121306879993523
2016,WEST VIRGINIA,0.7216105225129578
2016,WISCONSIN,0.5040586620860988
2016,WYOMING,0.7570531962915379
2020,ALABAMA,0.6291137483335473
2020,ALASKA,0.5526184872384932
2020,ARIZONA,0.49843168320870684
2020,ARKANSAS,0.6421243327798315
2020,CALIFORNIA,0.3509108863933243
2020,COLORADO,0.43061680507699845
2020,CONNECTICUT,0.39804950911922155
2020,DELAWARE,0.40373255835015526
2020,DISTRICT OF COLUMBIA,0.05533046152380555
2020,FLORIDA,0.5169475466214156
2020,GEORGIA,0.498716661561674
